,sigma,Pt_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
0,0.2,1,-5,1200.0,91.0,17296,job__13_553165__1200_000000__91_0,14537042,-5.778569,1279.2960464242917,-5.776669,13.55316471777181,0.013215250000000012
1,0.2,1,-5,1200.0,91.0,17296,job__13_703756__1200_000000__91_0,14537044,-5.82514379,1293.5069170655452,-5.82324379,13.703755469070034,0.05912643000000006
2,0.2,1,-5,1200.0,91.0,17296,job__13_854346__1200_000000__91_0,14537047,-5.86676269,1307.7312675248916,-5.86486269,13.854346253322728,0.05847528000000057
3,0.2,1,-5,1200.0,91.0,17296,job__14_004937__1200_000000__91_0,14537050,-5.9037187,1321.9320900087716,-5.9018187,14.004937069140103,0.05776657000000007
4,0.2,1,-5,1200.0,91.0,17296,job__14_155528__1200_000000__91_0,14537053,-5.93628751,1336.1488685206834,-5.93438751,14.155527611820814,0.057005010000000134
5,0.2,1,-5,1200.0,91.0,17296,job__14_306118__1200_000000__91_0,14537054,-5.9647296,1350.3647393543542,-5.9628296,14.306118353591613,0.05619277999999994
6,0.2,1,-5,1200.0,91.0,17296,job__14_456709__1200_000000__91_0,14537057,-5.98929134,1364.5724649701222,-5.98739134,14.456709203552634,0.05533407999999973
7,0.2,1,-5,1200.0,91.0,17296,job__14_607300__1200_000000__91_0,14537059,-6.01020437,1378.7973011169486,-6.00830437,14.607299918412908,0.05443302999999933
8,0.2,1,-5,1200.0,91.0,17296,job__14_757891__1200_000000__91_0,14537061,-6.02768649,1393.0134426616735,-6.02578649,14.757890532179129,0.05350000000000055
9,0.2,1,-5,1200.0,91.0,17296,job__14_908481__1200_000000__91_0,14537065,-6.0419432,1407.2160327294973,-6.0400432,14.908481346656444,0.00035535999999947165
10,0.2,1,-5,1200.0,91.0,17296,job__15_059072__1200_000000__91_0,14537068,-6.05316807,1421.4333447014283,-6.05126807,15.059071999999997,0.05151885999999983
11,0.2,1,-5,1200.0,91.0,17296,job__15_209663__1200_000000__91_0,14537071,-6.06154245,1435.6497091846688,-6.05964245,15.20966281878693,6.893000000030014e-05
12,0.2,1,-5,1200.0,91.0,17296,job__15_360253__1200_000000__91_0,14537073,-6.06723719,1449.8697999259525,-6.06533719,15.360253422767508,0.04942769999999985
13,0.2,1,-5,1200.0,91.0,17296,job__15_510844__1200_000000__91_0,14537075,-6.07041278,1464.09020118874,-6.06851278,15.510844095636024,0.00037976000000039534
14,0.2,1,-5,1200.0,91.0,17296,job__15_661435__1200_000000__91_0,14537077,-6.07122005,1478.2919154266817,-6.06932005,15.661434844804285,0.010128179999999709
15,0.2,1,-5,1200.0,91.0,17296,job__15_812026__1200_000000__91_0,14537079,-6.06980088,1492.5129775429257,-6.06790088,15.812025615308208,0.04612608000000051
16,0.2,1,-5,1200.0,91.0,17296,job__15_962616__1200_000000__91_0,14537081,-6.06628979,1506.7299391829038,-6.06438979,15.962616273331772,0.04498627999999982
17,0.2,1,-5,1200.0,91.0,17296,job__16_113207__1200_000000__91_0,14537083,-6.06081404,1520.9333944644898,-6.05891404,16.113207072105205,0.00039651999999978926
18,0.2,1,-5,1200.0,91.0,17296,job__16_263798__1200_000000__91_0,14537086,-6.05349372,1535.148508899626,-6.05159372,16.2637976801309,1.3800000004948743e-06
19,0.2,1,-5,1200.0,91.0,17296,job__16_414388__1200_000000__91_0,14537089,-6.04444304,1549.368535944191,-6.04254304,16.414388370627737,0.008812960000000203
20,0.2,1,-5,1200.0,91.0,17296,job__13_553165__1200_000000__91_0,14537042,-5.778569,1279.2960464242917,-5.776669,13.55316471777181,0.013215250000000012
21,0.2,1,-5,1200.0,91.0,17296,job__13_703756__1200_000000__91_0,14537044,-5.82514379,1293.5069170655452,-5.82324379,13.703755469070034,0.05912643000000006
22,0.2,1,-5,1200.0,91.0,17296,job__13_854346__1200_000000__91_0,14537047,-5.86676269,1307.7312675248916,-5.86486269,13.854346253322728,0.05847528000000057
23,0.2,1,-5,1200.0,91.0,17296,job__14_004937__1200_000000__91_0,14537050,-5.9037187,1321.9320900087716,-5.9018187,14.004937069140103,0.05776657000000007
24,0.2,1,-5,1200.0,91.0,17296,job__14_155528__1200_000000__91_0,14537053,-5.93628751,1336.1488685206834,-5.93438751,14.155527611820814,0.057005010000000134
25,0.2,1,-5,1200.0,91.0,17296,job__14_306118__1200_000000__91_0,14537054,-5.9647296,1350.3647393543542,-5.9628296,14.306118353591613,0.05619277999999994
26,0.2,1,-5,1200.0,91.0,17296,job__14_456709__1200_000000__91_0,14537057,-5.98929134,1364.5724649701222,-5.98739134,14.456709203552634,0.05533407999999973
27,0.2,1,-5,1200.0,91.0,17296,job__14_607300__1200_000000__91_0,14537059,-6.01020437,1378.7973011169486,-6.00830437,14.607299918412908,0.05443302999999933
28,0.2,1,-5,1200.0,91.0,17296,job__14_757891__1200_000000__91_0,14537061,-6.02768649,1393.0134426616735,-6.02578649,14.757890532179129,0.05350000000000055
29,0.2,1,-5,1200.0,91.0,17296,job__14_908481__1200_000000__91_0,14537065,-6.0419432,1407.2160327294973,-6.0400432,14.908481346656444,0.00035535999999947165
30,0.2,1,-5,1200.0,91.0,17296,job__15_059072__1200_000000__91_0,14537068,-6.05316807,1421.4333447014283,-6.05126807,15.059071999999997,0.05151885999999983
31,0.2,1,-5,1200.0,91.0,17296,job__15_209663__1200_000000__91_0,14537071,-6.06154245,1435.6497091846688,-6.05964245,15.20966281878693,6.893000000030014e-05
32,0.2,1,-5,1200.0,91.0,17296,job__15_360253__1200_000000__91_0,14537073,-6.06723719,1449.8697999259525,-6.06533719,15.360253422767508,0.04942769999999985
33,0.2,1,-5,1200.0,91.0,17296,job__15_510844__1200_000000__91_0,14537075,-6.07041278,1464.09020118874,-6.06851278,15.510844095636024,0.00037976000000039534
34,0.2,1,-5,1200.0,91.0,17296,job__15_661435__1200_000000__91_0,14537077,-6.07122005,1478.2919154266817,-6.06932005,15.661434844804285,0.010128179999999709
35,0.2,1,-5,1200.0,91.0,17296,job__15_812026__1200_000000__91_0,14537079,-6.06980088,1492.5129775429257,-6.06790088,15.812025615308208,0.04612608000000051
36,0.2,1,-5,1200.0,91.0,17296,job__15_962616__1200_000000__91_0,14537081,-6.06628979,1506.7299391829038,-6.06438979,15.962616273331772,0.04498627999999982
37,0.2,1,-5,1200.0,91.0,17296,job__16_113207__1200_000000__91_0,14537083,-6.06081404,1520.9333944644898,-6.05891404,16.113207072105205,0.00039651999999978926
38,0.2,1,-5,1200.0,91.0,17296,job__16_263798__1200_000000__91_0,14537086,-6.05349372,1535.148508899626,-6.05159372,16.2637976801309,1.3800000004948743e-06
39,0.2,1,-5,1200.0,91.0,17296,job__16_414388__1200_000000__91_0,14537089,-6.04444304,1549.368535944191,-6.04254304,16.414388370627737,0.008812960000000203
